C,Ricahrd Morris Hunt Memorial,40.7714825,-73.9677474,1367,985,382,437,602,294,33,13,983,6,395,784,2013,9
D,Long Beach,40.5884373,-73.657908,41,41,0,3,13,13,12,2,2,39,103,25,2013,9
A,Bryant Park,40.7535965,-73.9832326,50512,38480,12032,21076,14407,10799,3662,730,33562,1182,22788,29584,2013,9
A,Rockaway Beach and Boardwalk,40.5863767,-73.8004768,176,118,57,32,30,51,61,6,1,167,23,101,2013,9
C,107th Infantry Memorial,40.769249,-73.9694586,2540,1767,773,758,923,801,52,35,2073,25,891,1502,2013,9
C,911 Memorial,40.7115405,-74.0132725,55850,38207,17643,18162,14102,14307,8796,1349,17971,2335,17279,31557,2013,9
A,Central Park,40.7711329,-73.9741874,1013953,720429,293524,247555,310192,351604,99354,21895,629642,19200,372832,590620,2013,9
A,State of liberty National Monument,40.6892494,-74.0445004,22185,13365,8820,7187,5908,5318,3619,685,5591,712,5280,12296,2013,9
B,The Plaza,40.764464,-73.974489,12668,9044,3623,4075,4257,3489,795,313,8761,275,4661,7333,2013,9
C,Grants Tomb,40.8134045,-73.9630671,1865,1149,716,327,416,701,405,34,600,58,551,1103,2013,9
E,Broadway and Shubert Alley,40.7578253,-73.9871766,17306,11756,5550,2986,4378,7225,2558,691,11216,856,4821,9331,2013,9
E,Empire State Building,40.7484405,-73.9856644,38410,24678,13732,9614,10871,12722,5022,1264,27059,458,12129,21526,2013,9
C,Grand Army Plaza,40.764591,-73.9736523,31925,22512,9412,11228,11266,7515,1670,931,23552,480,11653,18460,2013,9
D,Coney Island Beach,40.5749261,-73.9859414,606,331,275,104,171,196,122,17,13,570,57,327,2013,9
C,Washington Square Arch,40.7314658,-73.9970956,39433,25477,13956,8067,10500,15217,5554,873,23508,796,15277,22627,2013,9
C,Columbus Circle Fountain,40.767885,-73.982622,34119,23861,10258,8931,10332,12162,2490,858,22671,519,13914,20058,2013,9
D,Rockaway beach and Boardwalk,40.5863767,-73.8004768,176,118,57,32,30,51,61,6,1,167,23,101,2013,9
B,Mandarin Oriental,40.768971,-73.983044,16075,11565,4509,3949,4012,5947,2085,334,10110,497,6666,9399,2013,9
B,The Greenwich Hotel,40.719846,-74.009893,30032,21326,8706,8342,6325,12539,2669,480,13275,468,12752,17533,2013,9
B,Trump SoHo Hotel,40.725469,-74.005333,9888,6851,3037,1804,2554,3375,2089,282,5253,491,3614,5779,2013,9
B,The Mark Hotel,40.775274,-73.963405,14595,10693,3902,3337,4259,5729,1218,283,10202,158,5275,8760,2013,9
A,Coney Island,40.5749261,-73.9859414,606,331,275,104,171,196,122,17,13,570,57,327,2013,9
A,Battery Park,40.7032775,-74.0170279,22185,13365,8820,7187,5908,5318,3619,685,5591,712,5280,12296,2013,9
B,The Pierre Hotel,40.765247,-73.971998,5968,4136,1831,1766,2067,1796,314,129,4306,118,2211,3488,2013,9
D,Fort Tilden Beach,40.564254,-73.883913,22,11,11,4,5,10,2,0,0,22,1,10,2013,9
B,Gramercy Park Hotel,40.738524,-73.985742,14322,9743,4579,2097,2736,6200,3262,323,9931,273,6157,8343,2013,9
E,Museum of National History,40.7813241,-73.9739882,11863,7446,4417,3986,5192,2332,342,539,6951,88,3001,6453,2013,9
F,Regal Cinemas Battery Park,40.71499216,-74.01525132,27448,20554,6894,7864,6806,9373,3276,634,8698,1858,10992,16455,2013,9
B,Four Seasons Hotel,40.762347,-73.971312,29136,22829,6307,11023,7993,6825,3160,444,19816,493,12061,17094,2013,9
A,Prospect Park,40.6602037,-73.9689558,33685,20287,13398,2722,3758,11972,14698,1105,3784,5888,10514,19769,2013,9
A,Riverside Park,40.8012339,-73.9723096,322253,225973,96280,53236,83675,135454,48431,7562,155810,6640,111008,188509,2013,9
B,The Surrey Hotel,40.774287,-73.96397,22836,16916,5920,5441,7027,8594,1731,357,15667,282,7572,13298,2013,9
F,Sunshine Cinema,40.723024,-73.989961,8749,5064,3685,619,1577,3672,2812,318,5066,180,3850,4906,2013,9
E,Metropolitan Museum of Art,40.7791865,-73.9635348,11927,8344,3582,4237,4902,2592,183,459,6460,51,3117,6684,2013,9
C,Statue of Liberty,40.6892494,-74.0445004,22185,13365,8820,7187,5908,5318,3619,685,5591,712,5280,12296,2013,9
F,Broadway Theater,40.763417,-73.983394,12360,8580,3780,2585,2481,4859,2367,277,7732,767,4375,7000,2013,9
B,The Peninsula Hotel,40.761719,-73.975259,14421,11160,3261,5934,3764,3529,1106,288,9879,340,6050,8590,2013,9
F,AMC Lowes Lincoln Square,40.774866,-73.981646,13576,9199,4377,2627,4572,5335,961,400,9458,145,5727,8239,2013,9
E,Rockefeller Center,40.7587402,-73.9786736,25712,18537,7175,11781,8687,4380,677,765,18176,373,10149,15068,2013,9
E,Times Square,40.759011,-73.9844722,26025,18043,7982,6536,6754,8475,4090,842,16189,2394,7937,14342,2013,9
